"","solID","mape","MAPE_train","KL_Divergence","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","2_128_7",0,0.049575938953133,0.0199000707598802,0.588215130386194,0.0490588111317087,0.0490588111317087,0.552367209044884,0.0160380579074921,0.430192462566267,0.417849453966148,0.460236699380468,0.117817421040015,0.171763850474157,0.987452199656946,0.377484996889207,0.256648666716978,0.594476597173882,0.864889514538551,0.254411779663523,0.798671970337577,0.304502954872839,0.423629641598149,0.555853578026584,0.0257665964317911,4,23,FALSE
"2","2_145_4",0,0.0498624362118932,0.0566763935004204,0.590763249369365,0.0490236270180929,0.0490236270180929,0.552367209044884,0.0160380579074921,0.521361908081338,0.187880509564511,0.460236699380468,0.117817421040015,0.171763850474157,0.987452199656946,0.377484996889207,0.00392499786758091,0.610081228129121,0.864889514538551,0.254411779663523,0.798671970337577,0.59452584202771,0.745652976131051,0.555853578026584,0.0257665964317911,2,14,FALSE
"3","2_148_4",0,0.0519402923411121,0.0252154278491457,0.703561081321277,0.0491324520575857,0.0491324520575857,0.232736875082854,0.939001342536503,0.686230451163069,0.0280951593800751,0.917583049981137,0.375208473356421,0.173321165003773,1,0.814493234453721,0.682996267583427,0.697258948476176,0,0.213650043334382,0.878587081565108,0.393828993215207,0.285497538476109,0.718130716258277,1,6,7,FALSE
"4","2_148_7",0,0.0497317125930021,0.0232687464526543,0.58733368810318,0.0490859468105682,0.0490859468105682,0.555367796587272,0.3748150583466,0.430192462566267,0.417849453966148,0.460236699380468,0.117817421040015,0.160652050660959,0.909356458104669,0.377484996889207,0.256648666716978,0.594476597173882,0.864889514538551,0.36718847936322,0.839911808766482,0.304502954872839,0.423629641598149,0.555853578026584,0.0257665964317911,4,23,FALSE
"5","2_150_3",0,0.049795109565133,0.00396284190065378,0.676150984304821,0.0486413065433668,0.0486413065433668,0.604722383346888,0,0.733906387418943,0.271209326636191,0.511616228151283,0.354415152807115,0.190134080751643,0.94237632831935,0.765029230797428,0.582424645017504,0.963689423540201,0.299955165300564,0.0850644599381502,0.734711507118293,0.0684953277113448,0.458131905709003,0.699236237957207,0.0299343774890546,4,23,FALSE
"6","2_152_1",0,0.0495513082019812,0.0235809637956712,0.587387842397147,0.0490563082913833,0.0490563082913833,0.776131340103877,0.0160380579074921,0.430192462566267,0.417849453966148,0.460236699380468,0.117817421040015,0.232821573217185,0.987452199656946,0.377484996889207,0.256648666716978,0.594476597173882,0.864889514538551,0,0.798671970337577,0.304502954872839,0.423629641598149,0.555853578026584,0.0257665964317911,4,23,FALSE
"7","2_155_9",0,0.0501428119725514,0.00943460000597919,0.735301963928334,0.0491699172379978,0.0491699172379978,0.71920184519889,0.597101521264621,0.891182216563428,0,0.282619580118549,0.385200914296645,0.466397016341463,0.858239004857178,0.668074453574926,0.32568236065485,0.330135330670742,0.563679030921542,0.820515794180773,0.294912740315817,0.167647564604827,0.362065266175078,0.00111092243143625,0.157077487106385,7,15,FALSE
"8","2_156_9",0,0.0501292705732601,0.00411347208201152,0.668742187300839,0.0486029682192735,0.0486029682192735,0.0756912147913976,0.360330212023779,0.733906387418943,0.271209326636191,0.511616228151283,0.354415152807115,0.206260762268078,0.963377284204632,0.765029230797428,0.582424645017504,0.963689423540201,0.299955165300564,0.0180852666188779,0.72087423583047,0.0684953277113448,0.458131905709003,0.699236237957207,0.0299343774890546,4,23,FALSE
"9","2_160_5",0,0.0499766315724333,0.0184063394246512,0.593796446426312,0.0489405223566401,0.0489405223566401,0.974044063135859,0.27387427180389,0.546897343041561,0.348313613258476,0.306253937990366,0.312708760853404,0.206151079980272,0.950514615477434,0.347233288214509,0.790815956105917,0.981102432679145,0.82816053009904,0.0847352859713234,0.938068136009298,0.630034276602378,0.37356396901059,0.683778859869109,0.0343380198424629,4,23,FALSE
"10","2_163_6",0,0.0499554644102539,0.00388553865751262,0.669882944576411,0.0490182763497715,0.0490182763497715,0.604722383346888,0,0.733906387418943,0.33157512682056,0.175294329400548,0.354415152807115,0.190134080751643,0.94237632831935,0.765029230797428,0.582424645017504,0.910159962333115,0.102855720189609,0.0850644599381502,0.734711507118293,0.0684953277113448,0.458131905709003,0.637265463918435,0.52279884403522,4,23,FALSE
