"","solID","mape","MAPE_train","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_116_9",0,0.0506876594377761,0.618606968293634,0.0490368144321337,0.0490368144321337,0.345598072293597,0,0.852739111413491,0.278837592158541,0.5575905307818,0.252484115000482,0.243419705854536,0.968194219752791,1,0.176390216218055,0.39445969074272,0.32193035709629,0.443351275063551,0.66347567961536,0.507330460659846,0.696782551927525,0.410231775394129,0.882882384763208,5,15,FALSE
"2","1_152_2",0,0.0489267950349057,0.539952335572025,0.0489448961544818,0.0489448961544818,0.369406328270036,0.333487144232396,0.899641493764937,0.51299095633495,0.640741547417867,0.372408318437298,0.182366643923286,0.864464806755239,0.0584797386941629,0.188274582684289,0.411110201659457,0.473082422297622,0.254018959485072,0.504982074001501,0.62301848575012,0.671717460026161,0.315501329624887,0.200217411899575,5,15,FALSE
"3","1_159_1",0,0.0489333659801633,0.561030228740374,0.0490569538830579,0.0490569538830579,0.361714630504885,0.473348773423749,0.960983619013004,0.484804311361489,0.702621091049414,0.333380975760506,0.0867107090124909,0.781098129496225,0.308051197816116,0.152278242730436,0.41814795558413,1,0.320881728273847,0.264439249354579,0.631756169068026,0.839693605962017,0.359005648473362,0.150488461147717,5,15,FALSE
"4","1_164_7",0,0.0493666795891494,0.640783044036189,0.0490406211525836,0.0490406211525836,0.401768395375214,0.12030871585228,0.956422925791055,0.4218493239078,0.521489701271996,1,0.256365650465665,0.9672050389853,0.503080788889066,0.206523319474722,0.401653775404543,0.949563287033564,0.286776312071624,0.48470436414223,0.788268428207888,0.569138687988333,0.334177348675547,0.0911339970627714,5,15,FALSE
"5","1_171_3",0,0.0489726601106299,0.467148699292103,0.0488970294173446,0.0488970294173446,0.356208721084639,0.67150248535023,0.843977510640502,0.296516983606125,0.444094883814527,0.13835496277022,0.107082260566256,0.307000707795907,0.106047104488123,0.129467645682223,0.418444648993575,0.454708687012842,0.520373298712945,0.691975542910378,0.963934076736543,0.912637050838791,0.681754142783326,0.171899506330588,5,15,TRUE
"6","1_172_7",0,0.0499032827297384,0.589617471036057,0.0488380774225659,0.0488380774225659,0.364713219589624,0.310766671211444,0.850702802482179,0.276321430178101,0.455422470377889,0.170318948574059,0.0119071268775196,0.93266914071124,0.5204851096527,0.128366049498358,0.421940650705812,0.195769466493061,0.466399879214867,0.948715177055903,0.756161847417603,0.839538138399717,0.690020562129585,0.479078657568942,5,15,FALSE
"7","1_181_8",0,0.049184836206669,0.621711049733767,0.0490621049229283,0.0490621049229283,0.391705679140385,0.177734290736669,0.872532716833247,0.379929650740674,0.600048640896283,0.390376123143063,0.0382807636602472,0.704666972951968,0.190970979966938,0.192883511497501,0.406158124160577,0.375338214065584,0.70816151930936,0.266556883673429,0.928636999280707,0.583571121424691,0.28430697331482,0.172989609800292,5,15,FALSE
"8","1_182_4",0,0.0489366521226281,0.485388044694562,0.0490593894862286,0.0490593894862286,0.361714630504885,0.890890570840911,0.960983619013004,0.484804311361489,0.702621091049414,0.333380975760506,0.0867107090124909,0.781098129496225,0.1322483021698,0.152278242730436,0.41814795558413,1,0.320881728273847,0.264439249354579,0.631756169068026,0.839693605962017,0.359005648473362,0.150488461147717,5,15,FALSE
"9","1_189_1",0,0.0487941844242711,0.585320316465358,0.048892751726231,0.048892751726231,0.311376514730951,0.590909802828151,1,0.696730185014504,0.982047712120132,0.333380975760506,0.0867107090124909,0.879368432944184,0.296421383139355,0.12933935793986,0.439803049941196,0.682253703050853,0.441061863234623,0.477423295480192,0.804254961585013,0.817465732428424,0.570607779463778,0.150488461147717,5,15,FALSE
"10","1_193_5",0,0.0485811209085927,0.590489879293549,0.0490465042723869,0.0490465042723869,0.362176599994715,0.230136916399347,0.843591586802537,0.47343516288344,0.656125968265052,0.0913617187425245,0.122085945943981,0.874074745210259,0.218248276374816,0.158888703457289,0.420109132357018,0.452893048256591,1,0.452599763872425,0.894007710375249,0.649262820919621,0.246377812409271,0.654207313135616,5,15,FALSE
