"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","MAPE_train","KL_Divergence","kl_div_obs_as_base","kl_div_obs_as_target","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.95543288325,0.47192575904,0.25960706352,2.245418987,0.94382339609,0.17226931666,1.81875373975,0.452624752,0.128612043982,1.31187582,0.67818939788,0.38342681512,1.3358392175,0.354169161809,0.15556340103,1.8601823485,0.62387538974,0.4899582061,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,1,0.0708568096160889,32.9161393642426,"1_51_2",1,51,2,452,FALSE,TRUE,51,0.101721467375329,2,FALSE
"2",1.02774071325,0.5131115539,0.23798769129,2.885051794,0.98831374787,0.16649690602,1.9123445985,0.47035959864,0.14255686915,1.53572701375,0.67569494396,0.28327926907,1.66254108775,0.42746646934,0.16424422155,1.953222519,0.60242140761,0.5133329729,1,0.97528105608974,NA,NA,0.0352077001898934,NA,NA,0.0352077001898934,0.622336183144895,0.0394264890466562,0.00312497940198868,0.00060214236513545,0.00564781643884192,0,15060.1139848735,0.0001300048031,65481090.2533626,1e-04,1,0.0756170749664307,55.3540713787079,"1_77_2",1,77,2,686,FALSE,TRUE,71,0.0981463212912556,1,FALSE
"3",2.95543288325,0.47192575904,0.25960706352,2.245418987,0.94382339609,0.17226931666,1.81875373975,0.452624752,0.111248072299,0.699307770725,0.68725941695,0.38036492296,1.67504720025,0.44208347307,0.12864325017,1.90862936875,0.62387538974,0.4899582061,1,0.974244135064103,NA,NA,0.0359385682061622,NA,NA,0.0359385682061622,0.650455000670322,0.0414438056941482,0.00285713415088128,0.000471123353634084,0.00524314494812848,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,1,0.090893030166626,62.0181603431702,"1_84_5",1,84,5,752,FALSE,TRUE,42,0.106536595835239,2,FALSE
"4",2.929907067,0.53347121623,0.29325486639,2.561940762,0.97675043688,0.120774876253,1.92834394125,0.66400976857,0.1895042266,1.7467513535,0.61782825284,0.33218177167,1.5437814825,0.42013678362,0.152237382,1.5517737135,0.60905650895,0.58980407775,1,0.973339355497142,NA,NA,0.0365643639658396,NA,NA,0.0365643639658396,0.685011449879795,0.0415595159452931,0.00307349428220804,0.00079259736948778,0.00535439119492831,0,20149.8351884403,0.0002077406839,65481090.2533626,1e-04,1,0.0897619724273682,95.1597461700439,"1_121_6",1,121,6,1086,FALSE,TRUE,63,0.116796919296189,2,FALSE
"5",2.5056479235,0.48648127617,0.19166815803,2.8664561875,0.88054165064,0.22521931666,0.95576777725,0.81709005558,0.17475914776,2.668070179,0.74495823169,0.26314922572,1.54311638575,0.4031546523,0.19198457391,2.47867010525,0.52758145823,0.45683482475,1,0.975928539226842,NA,NA,0.0347435286414079,NA,NA,0.0347435286414079,0.683658683211686,0.0376513527295546,0.00226745656444072,0.000574383683340507,0.00396052944554093,0,11170.7606932851,7.060227558e-05,65481090.2533626,1e-04,1,0.101967096328735,96.8965404033661,"1_123_5",1,123,5,1103,TRUE,TRUE,9,0.116291179778011,2,FALSE
"6",2.3394900365,0.4289593697,0.03377830824,0.9899974265,0.66095586562,0.32248623718,0.548079171075,0.79282535862,0.35244678616,1.891751481,0.49696783834,0.32586793951,0.757260712,0.41098437777,0.1979957679,2.27843910225,0.62698907997,0.344565437945,1,0.973458177899312,NA,NA,0.0364827920958424,NA,NA,0.0364827920958424,0.573016079694077,0.040495200514423,0.00269529942865532,0.000304056060075553,0.00508654279723508,0,12892.5243582699,9.689896447e-05,65481090.2533626,1e-04,1,0.0825741291046143,99.7743313312531,"1_126_6",1,126,6,1131,TRUE,TRUE,33,0.0836067090320513,3,FALSE
"7",2.932836069,0.41927160854,0.25112689812,2.97447822,0.98115854499,0.110123665747,1.0461924565,0.82125471727,0.16467502882,2.6804955835,0.69768921766,0.26958582448,1.742417943,0.45568309848,0.16247786454,1.70333448175,0.352867329753,0.37158951605,1,0.976766738897967,NA,NA,0.0341332614967073,NA,NA,0.0341332614967073,0.62347477042822,0.0368044872053817,0.00221146011626014,0.00061044891768347,0.0038124713148368,0,13734.737800236,0.0001097621845,65481090.2533626,1e-04,1,0.0902338027954102,102.414960384369,"1_129_7",1,129,7,1159,FALSE,TRUE,6,0.0984283866255469,2,FALSE
"8",2.3394900365,0.4289593697,0.03377830824,0.9899974265,0.66095586562,0.32248623718,0.548079171075,0.79282535862,0.31924315591,2.413315708,0.55693016748,0.32586793951,0.757260712,0.41098437777,0.1979957679,2.27843910225,0.62698907997,0.344565437945,1,0.973750002185537,NA,NA,0.0362816757000783,NA,NA,0.0362816757000783,0.572335757902286,0.0399350435952348,0.00286026451351286,0.00044787167261795,0.00527265735440776,0,12892.5243582699,9.689896447e-05,65481090.2533626,1e-04,1,0.089277982711792,102.615492343903,"1_129_9",1,129,9,1161,TRUE,TRUE,44,0.0833835978687763,3,FALSE
"9",2.929907067,0.53347121623,0.08237680206,2.02188420875,0.77584761791,0.2276904232,1.40080840125,0.3828244613,0.14823693169,0.65959893175,0.5929333722,0.33218177167,1.5437814825,0.42013678362,0.152237382,1.5517737135,0.60905650895,0.58980407775,1,0.97227782966666,NA,NA,0.0372851861023785,NA,NA,0.0372851861023785,0.656138544708059,0.0425042401045457,0.00237163003724195,0.000237060478992746,0.00450619959549116,0,20149.8351884403,0.0002077406839,65481090.2533626,1e-04,1,0.0751080513000488,104.173819303513,"1_131_6",1,131,6,1176,FALSE,TRUE,16,0.108295603571552,2,FALSE
"10",0.62557451805,0.74070248901,0.23244249747,1.74784279775,0.88633179521,0.2480621434,0.7793725015,0.9734772331,0.125081095741,2.5864759285,0.75293244213,0.29543281273,1.44629443725,0.6494117256,0.22645008042,2.3738630875,0.78653634869,0.42444484885,1,0.974328172526182,NA,NA,0.0358798892664445,NA,NA,0.0358798892664445,0.52761942108318,0.0400759525966205,0.00292143264497637,0.00045671601276176,0.00538614927719098,0,11930.6116645726,8.220756439e-05,65481090.2533626,1e-04,1,0.074425220489502,107.44771027565,"1_135_3",1,135,3,1209,FALSE,TRUE,48,0.0701314796753472,2,FALSE
