"","solID","mape","MAPE_train","KL_Divergence","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_159_1",0,0.0491385034736365,0.0175874644118745,0.703627163334505,0.0496837971478611,0.0496837971478611,0.43690353996635,0.71656238711386,0.626593825960686,0.284007148723692,0.527777335144072,1,0.722838410730033,0.170447786262132,1,0.901102029252306,0.934785886219267,0.117810742994054,0.415675438684114,0.475191945505296,0.420553875608273,0.570665039592653,0.353672174621378,0.40835990746878,2,8,FALSE
"2","1_162_2",0,0.0489732935606267,0.00545509463162202,0.699193271774865,0.0498320879886563,0.0498320879886563,0.284599292469047,0.290919842624059,0.984585935615863,0.602055619878525,0.126002652032648,0.19933248263145,0.84719494156472,0.998314825146696,0.877860246023231,0.991826512508807,0.521229354565222,0.127473414896847,0.316551597811658,0.125575981542728,0.920546147320596,0.821613234034522,0.26946238427615,0.537654135374259,2,8,FALSE
"3","1_165_5",0,0.0489154443505049,0.00835414728709105,0.681639214818054,0.0497847262029571,0.0497847262029571,0.0507046062328952,0.290919842624059,0.984585935615863,0.602055619878525,0.126002652032648,0.19933248263145,0.252485336488726,0.998314825146696,0.877860246023231,0.991826512508807,0.521229354565222,0.127473414896847,0.508956965110329,0.125575981542728,0.920546147320596,0.821613234034522,0.26946238427615,0.537654135374259,2,8,FALSE
"4","1_188_4",0,0.0492194103420282,0.00527552490341255,0.58747574747467,0.0500919737702681,0.0500919737702681,0.171853590717038,0.254001421915992,0.383945543011116,0.74890161112127,0.0175275871200424,0.537249801741908,0.0600233587734303,0.777190512309551,0.284579776097164,0.996038196149577,0.716012457799176,0.156740659669926,0.996287695988922,0.0148436189261345,0.468438556203214,0.654226110918861,0.380653904152528,0.422457291353192,2,8,FALSE
"5","1_207_6",0,0.0491951375787937,0.036566291627059,0.612511680379169,0.049631499042203,0.049631499042203,0.566416025396514,0.184858858016306,0.99730500475766,0.0332436614798525,0.137825538417981,0.27582992898646,0.0187172943646171,0.123740227276891,0.489476718625158,0.873973719747824,0.305205914475859,0.105822323362536,0.759487651283581,0.742213123724502,0.940186371114545,0.346436879410212,0.320766342474372,0.664891987959206,4,38,FALSE
"6","1_210_9",0,0.0491719811249971,0.00544280883585994,0.591215537982968,0.0501739860524342,0.0501739860524342,0.470973838348242,0.0951626134895389,1,0.310408330370455,0.575275877702103,0.27582992898646,0.0187172943646171,0,0.508302986911969,0.9787692205868,0.546562410639334,0.230801990667852,0.759487651283581,0.776566636031632,1,0.666335536453707,0,0.664891987959206,4,38,FALSE
"7","1_215_8",0,0.0491658935507311,0.00614433559576015,0.579439228314467,0.0498754668273852,0.0498754668273852,0.488542719896307,0.530998286074887,0.769006127618587,0.267420024182018,0.442620102869861,0.691906675659438,0.12185764321397,0.0286445906987418,0.453237383493219,0.810891448865351,0.49063016604739,0.279229867298891,0.34000365774289,0.950106437630951,0.515308878537725,0.547086408725022,0.350440630614755,0.407222046907603,4,38,FALSE
"8","1_217_7",0,0.0491441260325939,0.00567994537769039,0.625073111784099,0.0495233893934285,0.0495233893934285,0.35367053462972,0.0155820015508325,0.519413632070976,0.328896325215959,0.284993511675012,0.193972314324479,0.121718333121037,0.577766770959687,0.520233783661119,0.905034790965254,0.825667190993276,0.119555651052287,0.362466413941718,0.490702707592767,0.644378174766122,0.720642321659352,0.272620761354649,0.59654588764917,2,8,FALSE
"9","1_219_2",0,0.0489968919882771,0.014609574873422,0.585987285951243,0.0499428943594826,0.0499428943594826,0.488542719896307,0.615142358135639,0.514567191812676,0.403581702820857,0.76256888396308,0.519389104748659,0,0.0286445906987418,0.385476102798641,0.590998253612347,0.421436405970238,0.243321501225646,0.34000365774289,0.950106437630951,0.202361584985601,0.604891457419995,0.730328755095291,0.399433917766688,4,38,FALSE
"10","2_182_5",0,0.0489836521658241,0.0043429291559816,0.449152814737703,0.0492696090899703,0.0492696090899703,0.837596647520381,0.31978708487973,0.926652331322566,0.613211318537178,0.283505220978386,0.0427903610942868,0.179724980330232,0.6546435763563,0,0.62870700725793,0.26100527393663,0.00849408700252238,0.867314429921042,0.55070399604031,0.843415750458626,0.479346657661358,0.697822800024066,0.23646749471194,4,38,FALSE
