"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"14",0.5939482942,0.4651544769,0.03574030722,2.2369990085,0.77953084991,0.25498356943,0.51150233515,0.5312335676,0.38388880747,1.967207835,0.67075347757,0.117854048644,2.032417794,0.70767903379,0.012222891939,2.455615192,0.3045917250785,0.334112176305,1,0.951225562914184,NA,NA,0.0492982277894866,NA,NA,0.0492982277894866,0.313562642978796,0,23315.5656918695,0.0002560912397,65481090.2533626,1e-04,1,0.0624179840087891,160.322388887405,"1_205_7",1,205,7,1843,FALSE,TRUE,2,0.0657598777599449,1,FALSE
"15",1.162284485,0.347705826931,0.12085864047,2.926611343,0.83019603126,0.35884051156,0.508100309085,0.81704978836,0.39928812124,2.645870054,0.64219318049,0.14108694931,2.03070020125,0.5628804003,0.04068272064,1.6390260195,0.40200211588,0.319311499355,1,0.951584979264478,NA,NA,0.0491162538617555,NA,NA,0.0491162538617555,0.346957445073238,0,15921.5130698499,0.0001431610476,65481090.2533626,1e-04,1,0.0620419979095459,160.473766803741,"1_205_9",1,205,9,1845,FALSE,TRUE,2,0.0807647487319064,2,FALSE
"16",1.39915444075,0.341454355271,0.26874146013,2.92800266875,0.73620803744,0.29456407414,0.5182707789775,0.80687142331,0.36296670247,2.37764910525,0.47290210707,0.119133660472,1.9384987475,0.76800565042,0.08063535213,1.3199968795,0.335607693275,0.32381431798,1,0.952115527634826,NA,NA,0.0488463961654645,NA,NA,0.0488463961654645,0.435910439452229,0,13610.9904245242,0.000107872177,65481090.2533626,1e-04,1,0.0624589920043945,162.668216943741,"1_208_9",1,208,9,1872,FALSE,TRUE,3,0.120745194187628,2,FALSE
"17",0.5939482942,0.4651544769,0.03574030722,2.2369990085,0.77953084991,0.35711305042,0.5030146848525,0.62639275592,0.3950177716,2.484272338,0.62888416274,0.109028133298,2.255712767,0.87105629854,0.03869911866,2.60733064175,0.3045917250785,0.334112176305,1,0.951186345518483,NA,NA,0.0493180430836043,NA,NA,0.0493180430836043,0.287703708419683,0,23315.5656918695,0.0002560912397,65481090.2533626,1e-04,1,0.0725288391113281,162.777752876282,"1_209_1",1,209,1,1873,FALSE,TRUE,1,0.0541393142172556,1,FALSE
"18",1.04970067375,0.38221532893,0.27816719568,2.756229724,0.73821550101,0.2716371709,0.505294671445,0.96015752453,0.38939255011,2.51910384525,0.64401056354,0.22745095471,2.163434344,0.94787467941,0.13528028733,2.07726346275,0.3051643776436,0.328872224255,1,0.951733674848846,NA,NA,0.0490407712301109,NA,NA,0.0490407712301109,0.356646184643471,0,18937.1237460217,0.0001892188065,65481090.2533626,1e-04,1,0.0803380012512207,164.026465892792,"1_210_5",1,210,5,1886,FALSE,TRUE,2,0.0851183806535301,2,FALSE
"19",0.643334380575,0.55739586537,0.10234737819,2.2369990085,0.77953084991,0.35711305042,0.5030146848525,0.62639275592,0.3950177716,2.484272338,0.62888416274,0.109028133298,2.255712767,0.87105629854,0.03869911866,2.60733064175,0.3045917250785,0.334112176305,1,0.951158728491531,NA,NA,0.049331992306918,NA,NA,0.049331992306918,0.293301665588034,0,23315.5656918695,0.0002560912397,65481090.2533626,1e-04,1,0.0777628421783447,165.495496988297,"1_212_4",1,212,4,1903,FALSE,TRUE,2,0.0566555580834493,1,FALSE
"20",2.0335347605,0.46576414729,0.25032336819,2.14837248,0.78861628578,0.26759616646,0.52513666335,0.71628687128,0.36784786543,2.475402292,0.55995912096,0.16909135306,1.9239672895,0.63155107986,0.11344270185,1.3483004445,0.3466462444,0.3022187451215,1,0.952108142586876,NA,NA,0.0488501627212233,NA,NA,0.0488501627212233,0.42643557580718,0,14204.2802949064,0.0001169335595,65481090.2533626,1e-04,1,0.0616881847381592,169.511691808701,"1_217_5",1,217,5,1949,FALSE,TRUE,3,0.116486306535525,2,FALSE
"21",2.14494350875,0.336754045398,0.17681059854,2.44504547025,0.71273788451,0.32035308274,0.50185672065025,0.89012514512,0.37111035163,2.2737557165,0.44933513833,0.104966455279,1.9772816365,0.55041846669,0.03670307631,1.3389257445,0.37345318001,0.304063624661,1,0.951977023366042,NA,NA,0.0489169884567943,NA,NA,0.0489169884567943,0.401151273387886,0,13644.8877080595,0.000108389894,65481090.2533626,1e-04,1,0.0863080024719238,173.138710975647,"1_222_2",1,222,2,1991,FALSE,TRUE,2,0.105121575994866,2,FALSE
"22",0.96751930725,0.44549182914,0.20421118185,2.8256913465,0.77774757968,0.27918284953,0.5158529139925,0.98421215149,0.37067208703,2.63339119525,0.51287817642,0.15712447429,1.383369449,0.48587878204,0.08426745741,1.56045093025,0.312631188857,0.31616879606,1,0.95241512133195,NA,NA,0.0486933503716613,NA,NA,0.0486933503716613,0.491246814099729,0,12789.9241806502,9.533194049e-05,65481090.2533626,1e-04,1,0.0890278816223145,173.237030982971,"1_222_3",1,222,3,1992,TRUE,TRUE,1,0.145618349011719,2,FALSE
"23",1.367530593,0.4651544769,0.03574030722,2.2369990085,0.77953084991,0.35711305042,0.5030146848525,0.62639275592,0.3950177716,2.484272338,0.62888416274,0.109028133298,2.255712767,0.87105629854,0.03869911866,1.51858144175,0.332760216524,0.31480051159,1,0.952293945165093,NA,NA,0.0487553104108733,NA,NA,0.0487553104108733,0.452911902474645,0,10519.0471661085,6.064858204e-05,65481090.2533626,1e-04,1,0.0629081726074219,173.30872297287,"1_222_4",1,222,4,1993,TRUE,TRUE,2,0.128386995169372,1,FALSE
