"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_141_9",0,0.377391285859103,0.048987212573221,0.048987212573221,0.430183242246871,0.36785942270593,0.899926099159499,0.482031043841785,0.521064907491115,0.0354874988913461,0.296849286435466,0.827107080653388,0.0494594366193038,0.612808166618528,0.180726916789693,0.459024783487774,0.0118883255353272,0.764621337519452,0.463108531719502,0.881447744866324,0.778499483006508,0.0372017865597991,2,34,FALSE
"2","1_143_2",0,0.459261289661124,0.0488152901867383,0.0488152901867383,0.903212414491846,0.703056546346097,0.727600911935517,0.0629017226022835,0.423295113384259,0.0877351209900216,0.0705737115653327,1,0.0300281828950852,0.573135477707059,0.405574173793565,0.41213676108006,0.163844432522234,0.631396841697646,0.90107705134659,0.312356290926532,0.567396423545746,0.00768750966124179,2,34,FALSE
"3","1_173_4",0,0.347085660002414,0.0490666787528433,0.0490666787528433,0.611719728205024,0.411144504630927,0.915058841741673,0.281927116315165,0.679774766688894,0.0689333052560688,0.431419805295868,0.984901552461179,0.0105896015062785,0.202219840232405,0.571563587232239,0.483479420473697,0.205823861954929,0.622640049639413,0.77018459620778,0.174065615009476,1,0.00410587775517041,2,34,FALSE
"4","1_185_4",0,0.389539294935857,0.0489298140959092,0.0489298140959092,0.161541209348392,0.604223439291176,0.855181546277293,0.137989029946617,0.602954132409234,0,0.330858569777983,0.73418824985511,0.0407152805663314,0.157384596371726,0.485109734500351,0.249991729599715,0.062581613222532,1,0.516724889264248,0.192845931303831,0.90327366309068,0.0325055860588289,2,34,FALSE
"5","1_185_7",0,0.398045209237031,0.0489621246912712,0.0489621246912712,0.863987047582865,0.400039967787375,0.860813991095473,0.461857603373006,0.466246076285988,0.0158129365160256,0.29490709403833,0.980418217691152,0.00425510756472789,0.00155994900831634,0.422320508391241,0.164773217886924,0.253212630986515,0.463525832389473,0.77991123045653,0.340885388296873,0.939366579066912,0.086412564622949,2,34,FALSE
"6","1_192_3",0,0.546127098185901,0.0487861675960449,0.0487861675960449,0.900542875957872,0.58164628275158,0.702326277354,0.137082352308528,0.328825874057037,0.0285027927883134,0.159087487587227,0.982659853735751,0.0172379223268871,0.404408154744604,0.344708912424783,0.0157741678213583,0.195310437921151,0.503661649003082,0.740716958189562,0.295220659883221,0.247415283209091,0.0703506148130979,2,34,FALSE
"7","1_195_6",0,0.439862078906733,0.0487370427651313,0.0487370427651313,0.900542875957872,0.58164628275158,0.702326277354,0.137082352308528,0.328825874057037,0.00532390555577247,0.340107947483333,0.982659853735751,0.0172379223268871,0.404408154744604,0.344708912424783,0.0532845857475289,0.0737455523446234,0.503661649003082,0.740716958189562,0.295220659883221,0.247415283209091,0.0939620363348633,2,34,FALSE
"8","1_198_7",0,0.388209761651749,0.0489374243045124,0.0489374243045124,0.118917526573656,0.672307765192885,0.855181546277293,0.137989029946617,0.602954132409234,0,0.615519293016376,0.725875091455702,0.0407152805663314,0.157384596371726,0.485109734500351,0.249991729599715,0.107867200242501,0.757111542904855,0.516724889264248,0.192845931303831,0.90327366309068,0.0325055860588289,2,34,FALSE
"9","1_199_1",0,0.319270385396331,0.0493188919695105,0.0493188919695105,0.61907238939273,0.400039967787375,0.860813991095473,0.204447435182895,0.0202645099840849,0.174827436011662,0.224664443462242,0.980418217691152,0.00425510756472789,0.00155994900831634,0.12194771312987,0.826103646080466,0.24999006005751,0.463525832389473,0.77991123045653,0.617043222636542,0.603391342076135,0.00586707357933203,2,34,FALSE
"10","1_202_3",0,0.438396207033395,0.0487832906048974,0.0487832906048974,0.932982310335165,0.58164628275158,0.702326277354,0.137082352308528,0.328825874057037,0.00532390555577247,0.528065062783671,0.783272384103706,0.0172379223268871,0.404408154744604,0.344708912424783,0.0532845857475289,0.186641867226974,0.503661649003082,0.740716958189562,0.295220659883221,0.247415283209091,0.0939620363348633,2,34,FALSE
