"","solID","mape","MAPE_train","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","2_139_2",0,0.058232729808144,0.220644129992219,0.0523844831485595,0.0523844831485595,0.130024190413183,0.763062560502796,0.933096107952771,0.192749238964396,0.436661730659074,0.892195113210699,0.885031373211224,1,0.038907029224271,0.899047034793775,0.679087463512667,0.952606082923383,0.212268658753665,0.617435088036356,0.992322455656161,0.484440463040775,0.315121023133911,0.619618721316293,3,7,TRUE
"2","2_141_7",0,0.0592882116995361,0.237703815724244,0.0526370018968987,0.0526370018968987,0,0.380750087762278,0.721590487831837,0.535510130141019,0.430418023487205,0.860618190995646,0.908145679376598,0.694443106572073,0.111708277239009,0.646605600091566,0.882376727985075,0.930138976505779,0.182043493321394,0.900189540389123,0.935961216313445,0.454910167887881,0.51883288624107,0.562862636317165,3,7,FALSE
"3","2_158_1",0,0.058169078508008,0.238624033609017,0.0525497353059688,0.0525497353059688,0.205622135672154,1,0.61829251988042,0.434079257402919,0.489480883276769,1,0.936190319924728,0.740744081780156,0.0879983722728269,0.548369035342226,0.601623378329074,0.884649062727589,0.148977051483196,0.63836297825879,0.952441195818326,0.371553956608376,0.54284590431361,0.674682130245244,3,7,FALSE
"4","2_178_1",0,0.0568360250797703,0.234484811112249,0.0522381705183456,0.0522381705183456,1,0.440107709350154,0.762457082781527,0.000530289488147412,0.446268717877267,0.761430198624396,0.514637102193664,0.411257539311975,0.0595404855069723,0.515622015668232,0.383372315413248,0.611749365317382,0.835963693069143,0.515286634386119,0.450013511479957,0.427380715709649,0.522366437802451,0.797781779752158,3,7,FALSE
"5","2_181_4",0,0.05678340914381,0.237269216084846,0.0522437396555929,0.0522437396555929,1,0.440107709350154,0.762457082781527,0.000530289488147412,0.446268717877267,0.761430198624396,0.514637102193664,0.411257539311975,0.0595404855069723,0.515622015668232,0.383372315413248,0.611749365317382,0.835963693069143,0.515286634386119,0.450013511479957,0.427380715709649,0,0.797781779752158,3,7,FALSE
"6","2_184_7",0,0.0577013304380543,0.228059502454787,0.0522203135527912,0.0522203135527912,1,0.440107709350154,0.762457082781527,0.1353536369174,0.390321051672721,0.349776146440469,0.514637102193664,0.411257539311975,0.0595404855069723,0.515622015668232,0,0.521783817966412,0.835963693069143,0.515286634386119,0.450013511479957,0.530913892368112,0.433930024348229,0.643724791639872,3,7,FALSE
"7","2_210_4",0,0.0560520429810171,0.235779581229476,0.0526617700483704,0.0526617700483704,0.559526504204085,0,0.736668263058238,0.107589738369385,0.242514982179686,0.695800378067282,0.901318874056166,0.329223770022169,0.123167504414615,0.775666216016977,0.697638029481996,0.898369927360925,0.300830754361591,0.741989127373073,0.893998401331424,0.428452100980226,0.31671516706621,1,3,7,FALSE
"8","2_210_8",0,0.0565605490028316,0.229000214833193,0.0520544536336694,0.0520544536336694,0.179773430250306,0.745196766005473,0.779409460071494,0.00756842010697403,0.484309319047784,0.739150412187884,0.283401691686215,0.522231795376723,0.103177372920383,0.534418529084527,0.0772340876041683,0.43100471047374,1,0.338351173066321,0.0257807055958584,0.381954752589678,0.977722816123403,0.799493682601852,6,15,FALSE
"9","2_221_5",0,0.0529529811916128,0.250931425048624,0.0511701743429789,0.0511701743429789,0.0566627829943223,0.864495767464501,0.996686385901452,0.461379167125494,0.493749305795408,0,0.463441975149693,0.623873253569977,0.00460553974334108,0.629478957204122,0.328260751146917,0.38415455412759,0,0.36564536356111,0.899619390124158,0.540555934574094,0.414034282101146,0.520309522188583,4,15,FALSE
"10","3_82_8",0,0.0611303075022697,0.206051534739825,0.0537364683715215,0.0537364683715215,0.109529807796753,0.0672222767916795,0.104092724826852,0.336066074871227,0.640066012275575,0.344199332688828,0.511746070489444,0.455053704401029,0.00665320467998308,0.984790301826865,0.753228623892314,0.976670662238846,0.410128480366215,0.496845590169021,0.728789162484528,0.857438299246444,0.955697210516108,0.831971284299458,5,12,FALSE
"11","3_99_6",0,0.0767834125211476,0.216222043992303,0.0584141329415364,0.0584141329415364,0.185213289918827,0.450850784785462,0.738134717885724,0.268466654081818,0.909700508008337,0.227134228588809,0.688956814206864,0.214724700623399,0.243626966706809,0.573834287120659,0.993498558988085,0.66842979653863,0.401978855076915,0.159452240936114,0.889924367688755,0.819986574874784,0.784818259873632,0.555730698800452,5,12,FALSE
