"","solID","mape","MAPE_train","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_109_6",0,0.0488672632217401,0.62614520745406,0.0490721562478265,0.0490721562478265,0.359515428900065,0.259079966835798,0.682474411704343,0.403885640342501,0.47157181289994,0.524262729265193,0.08639701294265,0.96852969656689,0.837788768214432,0.154137635666252,0.429028283325934,0.193350654680803,0.437071983286085,0.746045177933885,1,0.520606170308733,0.209451848606057,0.24331134146077,4,26,FALSE
"2","1_112_9",0,0.0489236020982806,0.62357011110563,0.0490949628880762,0.0490949628880762,0.359515428900065,0.259079966835798,0.682474411704343,0.338207197045585,0.47157181289994,0.524262729265193,0.08639701294265,0.96852969656689,0.837788768214432,0.154137635666252,0.412829278063254,0.193350654680803,0.437071983286085,0.746045177933885,1,0.299345656980202,0.209451848606057,0.24331134146077,4,26,FALSE
"3","1_144_7",0,0.0489971515242776,0.443246119018327,0.049499925623037,0.049499925623037,0.397978796512668,0.79549481715379,0.921104950154283,0.357946959640522,0.515225330537329,0.982385788019118,0.348166093157437,1,0.415131634956873,0.206979428140661,0.403034349327226,0.448743385599128,0.224690562482278,0.0859027319465487,0.775471059251864,0.438507049369435,0.331760203224325,0.0453721380822669,4,26,FALSE
"4","1_151_4",0,0.0489749309965897,0.50644777019555,0.0495216973926607,0.0495216973926607,0.397978796512668,0.223375013253034,0.921104950154283,0.357946959640522,0.515225330537329,0.982385788019118,0.348166093157437,1,1,0.206979428140661,0.403034349327226,0.448743385599128,0.224690562482278,0.0859027319465487,0.775471059251864,0.438507049369435,0.331760203224325,0.0453721380822669,4,26,FALSE
"5","1_152_2",0,0.0489267950349057,0.539952335572025,0.0489448961544818,0.0489448961544818,0.364537071118544,0.290509507206985,0.818438713655331,0.433549608370714,0.637174233482846,0.365848639372899,0.270569533980107,0.925271972949228,0.151849973462746,0.188690388845824,0.41252327943568,0.164036156129181,0.189346246920625,0.629534219597473,0.602952002857334,0.574053424269396,0.313379791305455,0.0988735769198109,4,26,FALSE
"6","1_159_1",0,0.0489333659801633,0.561030228740374,0.0490569538830579,0.0490569538830579,0.356588764119465,0.436874082099121,0.929351117822411,0.410168580819836,0.700453274474847,0.327508732583067,0.170263168249137,0.864635285858679,0.817751606953857,0.152614550641426,0.419585223695755,0.478880370890663,0.261489402969399,0.445458664110392,0.61207404464845,0.796015114772725,0.356195516568735,0.074483339218817,4,26,FALSE
"7","1_162_4",0,0.0489947288414471,0.570633031924989,0.0491312947083373,0.0491312947083373,0.356588764119465,0.436874082099121,0.729859271369615,0.367178958884236,0.700453274474847,0.327508732583067,0.170263168249137,0.864635285858679,0.817751606953857,0.160528424457302,0.419585223695755,0.478880370890663,0.261489402969399,0.445458664110392,0.61207404464845,0.278998056704676,0.356195516568735,0.074483339218817,4,26,FALSE
"8","1_168_1",0,0.0489138780036667,0.509662888357227,0.0494517681757526,0.0494517681757526,0.397978796512668,0.223375013253034,0.921104950154283,0.163285414806639,0.515225330537329,0.982385788019118,0.348166093157437,1,1,0.206979428140661,0.358027965343227,0.448743385599128,0.224690562482278,0.0859027319465487,0.775471059251864,0.582920370334675,0.27499082079515,0.0453721380822669,4,26,FALSE
"9","1_171_3",0,0.0489726601106299,0.467148699292103,0.0488970294173446,0.0488970294173446,0.350899167398763,0.64424106314392,0.717792931187247,0.253982869399608,0.436080114864426,0.135917949127378,0.191625107814779,0.519800899323619,0.278768278522576,0.129753576178133,0.419882936906853,0.153057467046162,0.476735522107359,0.772631095226094,0.958863994065392,0.892401719226479,0.673835494099316,0.0849846764387148,4,26,FALSE
"10","1_176_6",0,0.048807075951206,0.426595460798437,0.0493901667673314,0.0493901667673314,0.253668798710255,0.75792236448173,0.963407630300496,0.291812712230574,0.49798281144295,0.0578473896292585,0.234579559935598,0.428814549890922,0.555803866671585,0.207695387280272,0.385696154529551,0.368061873854178,1,0.102284922110572,0.476693182627162,0.740147992175141,0.396405437207638,0.198646251776694,4,26,FALSE
"11","1_181_4",0,0.0489025931093581,0.510065880416787,0.0494745377340349,0.0494745377340349,0.397978796512668,0.223375013253034,0.921104950154283,0.243061841502338,0.515225330537329,0.982385788019118,0.348166093157437,1,1,0.206979428140661,0.358027965343227,0.448743385599128,0.224690562482278,0.0859027319465487,0.775471059251864,0.582920370334675,0.27499082079515,0.0453721380822669,4,26,FALSE
"12","1_182_4",0,0.0489366521226281,0.485388044694562,0.0490593894862286,0.0490593894862286,0.356588764119465,0.873829721984084,0.929351117822411,0.410168580819836,0.700453274474847,0.327508732583067,0.170263168249137,0.864635285858679,0.34867779620956,0.152614550641426,0.419585223695755,0.478880370890663,0.261489402969399,0.445458664110392,0.61207404464845,0.796015114772725,0.356195516568735,0.074483339218817,4,26,FALSE
"13","1_189_1",0,0.0487941844242711,0.585320316465358,0.048892751726231,0.048892751726231,0.304571275894799,0.559901178180745,0.999896450245546,0.585962638441467,0.986199541678663,0.327508732583067,0.170263168249137,0.936112113727849,0.786721165341261,0.129625005111101,0.441314751458888,0.289020348014696,0.391160584517797,0.608444846126028,0.792160817881862,0.766643465850059,0.564448373880806,0.074483339218817,4,26,FALSE
"14","1_191_8",0,0.0489631878967178,0.447118297951085,0.0491488555707105,0.0491488555707105,0.294023726966303,0.402400691308797,0.704298393107143,0.494932455306981,0.939812622566873,0.383499955357746,0.119478741591625,0.724209077964793,0.468220929756821,0.321550719582775,0.403433496262254,0.463054767956681,0.679354036835737,0.438065620081665,0.549973834736361,0.510721676198107,0.716078592455469,0.0597027601489032,4,26,FALSE
"15","1_193_5",0,0.0485811209085927,0.590489879293549,0.0490465042723869,0.0490465042723869,0.357066145764128,0.182353951968216,0.717095144136002,0.400737789250085,0.652906595751447,0.0897524540616559,0.207358215794058,0.932261754120979,0.578141227263707,0.159239610632087,0.421553141472154,0.15197258511644,0.994240025479333,0.589448622162341,0.885861664610229,0.544382130003405,0.245350372602369,0.321539075338438,4,26,FALSE
"16","1_200_4",0,0.0487746635167851,0.434856471425816,0.0494209655334289,0.0494209655334289,0.432781981346024,0.392074283715435,0.955452585390616,0.0970549084393414,0.562686216614532,0.554123972282782,0.218582611088224,0.345350419444525,0.808483457178145,0.288078486153029,0.360769334008207,0.608983159451204,0.937431634047784,0.203122644048829,0,0.652799644121476,0.352290913301022,0.0533803091231612,1,18,FALSE
