"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","MAPE_train","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"56",2.377695606,0.44942383953,0.25361613525,1.648195603,0.69098861473,0.38865226897,0.550211873875,0.39875377316,0.36885355528,2.83003586425,0.61938376022,0.16504019056,1.517155771,0.97643308495,0.28426194318,2.9728268715,0.63710210499,0.3513461934,1,0.944454247626811,NA,NA,0.0526090671592978,NA,NA,0.0526090671592978,0.238426638877319,0.0586838839176116,0,71105.2639787302,0.0009859886429,65481090.2533626,1e-04,1,0.0547351837158203,94.9919891357422,"3_190_6",3,190,6,1707,FALSE,TRUE,36,0.0219138940542939,1,FALSE
"57",2.3099661965,0.37504668584,0.18399060654,2.13457852375,0.81800788368,0.36441657382,0.53450023835,0.68737849836,0.39965075611,2.275707301,0.335527245761,0.129561437224,2.13233423625,0.86054411805,0.04954840371,2.90561819275,0.39298719283,0.328087577685,1,0.948697347929363,NA,NA,0.0505597691662785,NA,NA,0.0505597691662785,0.262170605415207,0.0524457813631453,0,16229.7064866276,0.0001478681201,65481090.2533626,1e-04,1,0.0484750270843506,95.7925052642822,"3_192_2",3,192,2,1721,FALSE,TRUE,1,0.0268026761867516,1,FALSE
"58",1.0279878695,0.9792375709,0.11847982251,1.674756326,0.79298598251,0.36581813875,0.515853742375,0.5204713343,0.3651245281,2.75831359775,0.85847188208,0.29347989376,2.832117409,0.88733348345,0.08574201504,2.94336105075,0.83597415928,0.5023161449,1,0.943755897578111,NA,NA,0.0529387484234244,NA,NA,0.0529387484234244,0.230635141418371,0.0580217682500191,0,49208.3329391844,0.0006515543678,65481090.2533626,1e-04,1,0.0527279376983643,96.5493371486664,"3_193_7",3,193,7,1735,FALSE,TRUE,23,0.0199227266458148,6,FALSE
"59",2.32483545225,0.40979316061,0.15584718534,1.94252058575,0.72643740426,0.34347091258,0.56535998235,0.318610740946,0.36924391672,2.79503317525,0.7349866192,0.15537057013,2.7877720645,0.75584543676,0.21319188291,2.829932051,0.7349955267,0.331683897325,1,0.942600461674631,NA,NA,0.0534797506812445,NA,NA,0.0534797506812445,0.232496785941411,0.061506388118179,0,115908.821864167,0.00167027839,65481090.2533626,1e-04,1,0.0537040233612061,97.1792211532593,"3_194_9",3,194,9,1746,FALSE,TRUE,26,0.0215817437195075,2,FALSE
"60",2.5873845785,0.5205883729,0.23623935966,2.40656034375,0.75855493103,0.39027590863,0.52758098555,0.8023931759,0.37235972878,2.12423289,0.45686411643,0.1025912384215,1.992112797,0.93214351501,0.18923093127,2.97885585625,0.88746262421,0.40984753995,1,0.943345873306097,NA,NA,0.0531313619992205,NA,NA,0.0531313619992205,0.238187043023611,0.0586148211286815,0,52984.2419277032,0.0007092242478,65481090.2533626,1e-04,1,0.055060863494873,97.9908273220062,"3_196_3",3,196,3,1758,FALSE,TRUE,35,0.0220320315079933,1,FALSE
"61",1.6871551145,0.7761278487,0.08589993447,2.484791148,0.64681136672,0.35768689366,0.5404779585,0.320478475983,0.39796618474,2.76444471525,0.66278640006,0.19875762865,2.4801308705,0.72077069167,0.1457218323,2.128758304,0.87191552607,0.36243472745,1,0.945359746918705,NA,NA,0.0521784922306362,NA,NA,0.0521784922306362,0.205944773644826,0.0571288635956252,0,61351.9258455453,0.0008370248195,65481090.2533626,1e-04,1,0.0531249046325684,98.1110773086548,"3_196_5",3,196,5,1760,FALSE,TRUE,1,0.0134322784812193,4,FALSE
"62",1.68234972275,0.75319090383,0.11847982251,0.96308561625,0.83063713472,0.3641535475,0.5092260686075,0.51972873566,0.39766639711,2.7085307285,0.96560424119,0.22968505318,2.4530552055,0.96325874559,0.05582408145,2.824548882,0.94805600496,0.48123567935,1,0.943461604410461,NA,NA,0.0530770667961384,NA,NA,0.0530770667961384,0.194540313151118,0.0579785468223574,0,48827.456200435,0.0006457371948,65481090.2533626,1e-04,1,0.0534060001373291,98.4844951629639,"3_197_1",3,197,1,1765,FALSE,TRUE,3,0.0119909975487077,6,FALSE
"63",2.222934216,0.46840929665,0.07418327943,1.5502892635,0.98684599102,0.30160884991,0.5179926719,0.353699298933,0.38843738485,2.57116089475,0.73475329044,0.18576148309,2.331498837,0.71535294437,0.2176448241,2.33518176175,0.58058816632,0.314875251185,1,0.947529804755243,NA,NA,0.0511318509659304,NA,NA,0.0511318509659304,0.236432896757863,0.0527798509470854,0,12204.5118791514,8.639087298e-05,65481090.2533626,1e-04,1,0.0481290817260742,98.7832612991333,"3_197_6",3,197,6,1770,FALSE,TRUE,1,0.0198727708822852,2,TRUE
"64",2.29425010725,0.60417641198,0.08242633281,0.586846440225,0.73843051238,0.35837863555,0.510452271,0.40222593262,0.3986780101,2.69351648775,0.97350939523,0.24772595857,2.291754058,0.58514850476,0.00501634329,2.7192886315,0.9103602806,0.319720231305,1,0.943098624379777,NA,NA,0.0532471732512578,NA,NA,0.0532471732512578,0.221038357479504,0.0567576615509028,0,34196.0449842182,0.000422270016,65481090.2533626,1e-04,1,0.0456740856170654,99.3514792919159,"3_198_7",3,198,7,1780,FALSE,TRUE,13,0.0174014199203877,6,FALSE
"65",2.696106488,0.57712042666,0.15060365052,1.150660136,0.73735419035,0.33038736568,0.50264684955,0.50263195274,0.37422963223,2.6237865135,0.68392679955,0.14892680413,2.24628072175,0.89851204511,0.25180887399,2.2642566405,0.86179913706,0.32871995365,1,0.9356424198779,NA,NA,0.0568097076488948,NA,NA,0.0568097076488948,0.212434093497715,0.0721801713939559,0,105950.096600445,0.001518177666,65481090.2533626,1e-04,1,0.0446739196777344,99.7980141639709,"3_199_6",3,199,6,1788,FALSE,TRUE,12,0.0240235392123905,2,FALSE
